job,company,location,stipend,duration,link
Fundraising Volunteer,Odisha Development Management Programme (ODMP),Work from home,"₹ 225-5,000 /week",Work from home,https://internshala.com/internship/detail/work-from-home-part-time-fundraising-volunteer-internship-at-odisha-development-management-programme-odmp1731051032
Business Development (Sales),DBG TECH SOLUTIONS,Mumbai,"₹ 5,000-10,000 /month",Mumbai,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-dbg-tech-solutions1727692747
Search Engine Optimization (SEO),Trickwrick,Jaipur,"₹ 6,000-10,000 /month",Jaipur,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-jaipur-at-trickwrick1731054998
Fashion Design,FableStreet,Gurgaon,"₹ 10,000 /month",Gurgaon,https://internshala.com/internship/details/fashion-design-internship-in-gurgaon-at-fablestreet1731045831
Marketing,PradhanMantri JanAushadhi Kendra,Delhi,"₹ 2,000 /month +  Incentives",Delhi(Hybrid),https://internshala.com/internship/detail/marketing-internship-in-delhi-at-pradhanmantri-janaushadhi-kendra1731053098
Video Editing/Making,Career Ladder,"Delhi, Ghaziabad","₹ 5,000-8,000 /month","Delhi, Ghaziabad",https://internshala.com/internship/detail/video-editing-making-internship-in-multiple-locations-at-career-ladder1731007188
Video Editing/Making,Akaaro,Gurgaon,"₹ 2,000 /month",Gurgaon(Hybrid),https://internshala.com/internship/detail/video-editing-making-internship-in-gurgaon-at-akaaro1731035371
Hosting,Marpu Foundation,Work from home,"₹ 2,000 /month",Work from home,https://internshala.com/internship/detail/work-from-home-hosting-internship-at-marpu-foundation1731108123
Administration,SPACE For Early Childhood Education,Pune,Unpaid,Pune,https://internshala.com/internship/detail/administration-internship-in-pune-at-space-for-early-childhood-education1731030230
Video Editing/Making,Ayurveda House Private Limited,Delhi,"₹ 10,000-14,000 /month",Delhi,https://internshala.com/internship/detail/video-editing-making-internship-in-delhi-at-ayurveda-house-private-limited1731065499
Videography,Wargstech,Pune,"₹ 8,000-12,000 /month",Pune,https://internshala.com/internship/detail/part-time-videography-internship-in-pune-at-wargstech1731049315
Sales,TheHummingMinds,Work from home,"₹ 1,000 /month",Work from home,https://internshala.com/internship/detail/work-from-home-part-time-sales-and-marketing-internship-at-thehummingminds1730268106
Video Editing/Making,Wargstech,Pune,"₹ 12,000-15,000 /month",Pune(Hybrid),https://internshala.com/internship/detail/video-editing-making-internship-in-pune-at-wargstech1731048741
Video Editing/Making,Accredian,Gurgaon,"₹ 15,000 /month",Gurgaon(Hybrid),https://internshala.com/internship/detail/video-editing-making-internship-in-gurgaon-at-accredian1731037949
Interior Stylist,MHLondon,Noida,"₹ 16,000 /month",Noida,https://internshala.com/internship/detail/interior-stylist-internship-in-noida-at-mhlondon1731077440
Inside Sales,Isourse,Delhi,"₹ 25,000 /month",Delhi,https://internshala.com/internship/details/inside-sales-internship-in-delhi-at-isourse1731065118
Fashion Design,Aishwarya Singhal,Delhi,"₹ 5,000 /month",Delhi(Hybrid),https://internshala.com/internship/detail/part-time-fashion-design-internship-in-delhi-at-aishwarya-singhal1727954655
Video Editing/Making,Sports For All,Mumbai,"₹ 10,000 /month",Mumbai,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-sports-for-all1731063644
Digital Marketing,QuadB Tech,Ludhiana,"₹ 15,000-20,000 /month",Ludhiana,https://internshala.com/internship/details/digital-marketing-internship-in-ludhiana-at-quadb-tech1731046897
Business Development (Sales),Career Ladder,"Delhi, Ghaziabad","₹ 6,000-10,000 /month","Delhi, Ghaziabad",https://internshala.com/internship/details/business-development-sales-internship-in-multiple-locations-at-career-ladder1731043192
Business Development (Sales),Candies Studio,"Navi Mumbai, Mumbai","₹ 15,000 /month","Navi Mumbai, Mumbai(Hybrid)",https://internshala.com/internship/details/business-development-sales-internship-in-multiple-locations-at-candies-studio1731044583
